State,Name,TOT_P,TOT_M,TOT_F,TIN Code,2-Letter Code
1,JAMMU & KASHMIR,12541302,6640662,5900640,1,J&K
2,HIMACHAL PRADESH,6864602,3481873,3382729,2,HP
3,PUNJAB,27743338,14639465,13103873,3,PB
4,CHANDIGARH,1055450,580663,474787,4,CG
5,UTTARAKHAND,10086292,5137773,4948519,5,UT
6,HARYANA,25351462,13494734,11856728,6,HR
7,NCT OF DELHI,16787941,8987326,7800615,7,DL
8,RAJASTHAN,68548437,35550997,32997440,8,RJ
9,UTTAR PRADESH,199812341,104480510,95331831,9,UP
10,BIHAR,104099452,54278157,49821295,10,BR
11,SIKKIM,610577,323070,287507,11,SK
12,ARUNACHAL PRADESH,1383727,713912,669815,12,AR
13,NAGALAND,1978502,1024649,953853,13,NL
14,MANIPUR,2855794,1438586,1417208,14,MN
15,MIZORAM,1097206,555339,541867,15,MZ
16,TRIPURA,3673917,1874376,1799541,16,TR
17,MEGHALAYA,2966889,1491832,1475057,17,ML
18,ASSAM,31205576,15939443,15266133,18,AS
19,WEST BENGAL,91276115,46809027,44467088,19,WB
20,JHARKHAND,32988134,16930315,16057819,20,JH
21,ODISHA,41974218,21212136,20762082,21,OD
22,CHHATTISGARH,25545198,12832895,12712303,22,CT
23,MADHYA PRADESH,72626809,37612306,35014503,23,MP
24,GUJARAT,60439692,31491260,28948432,24,GJ
25,DAMAN & DIU,243247,150301,92946,25,DD
26,DADRA & NAGAR HAVELI,343709,193760,149949,26,DH
27,MAHARASHTRA,112374333,58243056,54131277,27,MH
28,ANDHRA PRADESH,84580777,42442146,42138631,28,AP
29,KARNATAKA,61095297,30966657,30128640,29,KA
30,GOA,1458545,739140,719405,30,GA
31,LAKSHADWEEP,64473,33123,31350,31,LD
32,KERALA,33406061,16027412,17378649,32,KL
33,TAMIL NADU,72147030,36137975,36009055,33,TN
34,PUDUCHERRY,1247953,612511,635442,34,PY
35,ANDAMAN & NICOBAR ISLANDS,380581,202871,177710,35,AN
